Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit,IELTS Score
463,307,105,4,3.0,3.0,3.18,0,0.62,7.5
464,304,107,3,3.5,3.0,3.14,0,0.57,7.5
465,298,97,2,2.0,3.0,2.88,0,0.45,7.0
466,305,96,4,3.0,4.5,3.3,0,0.54,7.0
467,314,99,4,3.5,4.5,3.49,1,0.71,7.0
468,318,101,5,3.5,5.0,3.51,1,0.78,7.0
469,323,110,4,4.0,5.0,3.55,1,0.81,8.0
470,326,114,4,4.0,3.5,3.66,1,0.86,8.0
471,320,110,5,4.0,4.0,3.71,1,0.87,8.0
472,311,103,3,2.0,4.0,3.24,0,0.64,7.5
473,327,116,4,4.0,4.5,3.79,1,0.9,8.5
474,316,102,2,4.0,3.5,3.26,0,0.67,7.5
475,308,105,4,3.0,2.5,3.18,1,0.67,7.5
476,300,101,3,3.5,2.5,3.15,0,0.59,7.0
477,304,104,3,2.5,2.0,3.25,0,0.62,7.5
478,309,105,4,3.5,2.0,3.27,0,0.65,7.5
479,318,103,3,4.0,4.5,3.4,1,0.71,7.5
480,325,110,4,4.5,4.0,3.58,1,0.79,8.0
481,321,102,3,3.5,4.0,3.6,1,0.8,7.5
482,323,107,4,3.0,2.5,3.39,1,0.78,7.5
483,328,113,4,4.0,2.5,3.51,1,0.83,8.0
484,304,103,5,5.0,3.0,3.17,0,0.71,7.5
485,317,106,3,3.5,3.0,3.16,1,0.73,7.5
486,311,101,2,2.5,3.5,3.34,1,0.7,7.0
487,319,102,3,2.5,2.5,3.35,0,0.68,7.5
488,327,115,4,3.5,4.0,3.66,0,0.79,8.5
489,322,112,3,3.0,4.0,3.45,1,0.76,8.0
490,302,110,3,4.0,4.5,3.4,0,0.65,8.0
491,307,105,2,2.5,4.5,3.25,1,0.67,7.5
492,297,99,4,3.0,3.5,3.12,0,0.54,7.0
493,298,101,4,2.5,4.5,3.08,1,0.53,7.0
494,300,95,2,3.0,1.5,3.29,1,0.62,7.0
495,301,99,3,2.5,2.0,3.38,1,0.68,7.0
496,332,108,5,4.5,4.0,3.61,1,0.87,7.5
497,337,117,5,5.0,5.0,3.95,1,0.96,8.5
498,330,120,5,4.5,5.0,3.82,1,0.93,9.0
499,312,103,4,4.0,5.0,3.37,0,0.73,7.5
500,327,113,4,4.5,4.5,3.62,0,0.84,8.0
